device_age_months,battery_capacity_mah,avg_screen_on_hours_per_day,avg_charging_cycles_per_week,avg_battery_temp_celsius,fast_charging_usage_percent,overnight_charging_freq_per_week,gaming_hours_per_week,video_streaming_hours_per_week,background_app_usage_level,signal_strength_avg,charging_habit_score,usage_intensity_score,thermal_stress_index,battery_health_percent
21,4000,6.5,10.6,33.5,71.5,5,12.7,4.4,Low,Moderate,5,10.0,4.09,61.61
43,5000,7.2,8.9,33.0,13.7,5,3.4,0.2,Medium,Moderate,7,10.0,3.28,58.86
24,4000,7.4,11.9,36.4,28.9,1,4.2,12.3,Low,Good,7,10.0,4.13,62.65
48,5000,5.9,9.6,38.4,54.3,6,7.0,14.8,Low,Good,5,10.0,4.81,50.0
26,5000,3.6,6.8,33.4,53.7,3,3.2,5.6,Low,Moderate,7,10.0,3.35,67.98
41,5000,6.8,9.5,33.2,16.0,6,1.2,3.0,Low,Good,6,10.0,3.17,58.66
27,3000,5.0,8.4,32.8,43.5,3,1.9,0.6,Medium,Moderate,7,10.0,3.13,65.81
15,3000,1.0,3.0,27.9,74.3,0,1.8,15.4,High,Moderate,8,10.0,1.99,78.48
14,3000,6.3,8.9,34.6,14.9,7,3.2,9.5,Medium,Good,6,10.0,3.65,69.68
46,5000,4.0,5.2,31.8,10.3,1,3.9,16.5,High,Good,8,10.0,3.05,56.51
43,5000,4.6,5.0,33.2,65.5,0,0.9,0.0,Medium,Moderate,8,10.0,3.14,54.53
2,4000,5.5,8.8,32.4,9.5,3,9.1,10.4,Low,Good,7,10.0,3.58,79.76
36,4500,2.4,3.3,27.3,76.0,5,3.2,15.6,Low,Good,6,10.0,1.94,62.19
6,3000,5.8,5.9,33.8,71.4,0,4.5,5.3,Medium,Good,7,10.0,3.55,75.24
20,5000,4.9,7.4,33.4,32.8,0,2.5,13.7,High,Good,9,10.0,3.31,71.64
8,4000,3.7,6.8,28.3,69.5,4,4.4,4.7,Medium,Moderate,6,10.0,2.26,77.32
38,4000,5.6,7.1,28.1,77.4,1,2.9,5.3,Medium,Good,8,10.0,2.11,61.96
17,4000,2.1,3.0,31.4,44.3,6,2.6,10.4,High,Moderate,4,10.0,2.86,74.76
3,3000,5.7,8.9,29.8,45.5,1,0.8,7.0,Low,Moderate,8,10.0,2.34,83.4
24,3000,6.4,7.1,31.8,61.6,3,4.7,16.8,Low,Good,6,10.0,3.1,68.91
13,4500,6.1,8.6,33.6,86.4,2,1.8,10.0,Low,Good,6,10.0,3.31,69.19
8,4000,7.1,11.0,31.9,31.0,0,1.3,17.0,High,Poor,9,10.0,2.88,80.95
25,3000,7.8,11.2,30.5,26.3,1,2.1,13.4,Low,Moderate,8,10.0,2.62,69.42
1,4000,5.3,6.7,27.5,88.8,2,1.8,5.4,Low,Good,7,10.0,1.89,85.2
19,5000,7.7,10.3,33.6,15.2,1,0.4,11.1,Low,Good,9,10.0,3.2,71.9
27,4000,5.3,6.4,36.6,25.4,5,7.9,5.8,High,Good,7,10.0,4.48,64.82
46,4500,4.1,5.5,30.6,13.5,3,6.2,15.8,High,Good,7,10.0,2.95,58.66
6,3000,4.7,8.1,32.4,62.2,5,2.8,17.3,Low,Good,7,10.0,3.11,74.88
43,5000,6.0,11.4,34.3,59.0,0,5.5,1.4,Medium,Good,8,10.0,3.74,56.8
7,3000,7.7,11.5,35.7,31.3,6,5.7,12.8,Medium,Good,6,10.0,4.08,73.47
46,5000,5.5,9.0,32.4,79.2,4,2.4,16.1,Low,Good,5,10.0,3.08,53.62
34,4000,4.2,5.3,32.8,41.0,3,8.0,14.5,High,Good,7,10.0,3.58,64.18
13,4000,8.4,10.5,30.0,70.2,3,1.4,9.5,Low,Good,6,10.0,2.44,75.3
16,4500,2.6,5.8,26.0,56.9,3,1.3,23.7,Low,Good,7,10.0,1.49,76.58
35,4500,4.2,5.7,32.2,82.3,7,7.3,11.2,Medium,Good,5,10.0,3.38,56.49
39,5000,7.3,11.6,32.2,71.7,2,4.1,2.6,Medium,Good,6,10.0,3.15,58.22
3,4500,9.0,13.7,32.7,78.3,3,1.7,13.5,Low,Good,6,10.0,3.1,73.93
1,4500,6.5,10.7,29.6,27.6,4,3.4,15.5,Low,Moderate,6,10.0,2.5,81.94
5,4500,6.0,10.0,31.2,62.8,5,3.1,13.0,High,Good,6,10.0,2.84,74.74
41,4500,4.9,7.7,34.3,24.5,0,2.9,11.0,Medium,Moderate,8,10.0,3.56,61.63
3,4000,6.6,10.3,37.0,22.9,1,1.7,3.0,Low,Moderate,8,10.0,4.09,78.0
28,4500,5.8,9.9,35.3,29.1,6,1.7,1.7,Medium,Good,6,10.0,3.7,62.82
17,4000,4.0,5.6,32.5,70.0,2,6.4,5.2,Medium,Moderate,7,10.0,3.39,71.3
25,4000,4.9,8.9,32.4,88.6,3,2.7,0.0,Low,Good,7,10.0,3.09,62.6
43,3000,3.8,4.9,28.9,90.1,1,6.8,17.6,Medium,Good,8,10.0,2.58,57.19
33,4000,5.5,8.4,31.0,50.1,5,0.7,10.4,Low,Good,6,10.0,2.62,59.81
9,4000,5.8,9.4,36.9,78.3,3,5.8,8.3,Low,Moderate,5,10.0,4.37,70.28
35,4500,8.8,11.5,32.3,36.4,0,1.3,2.8,High,Moderate,7,10.0,2.97,61.94
13,4000,4.3,7.8,35.8,30.1,4,10.8,3.6,Medium,Moderate,7,10.0,4.5,74.11
30,5000,5.1,8.2,30.7,74.0,4,5.0,10.1,High,Poor,6,10.0,2.87,64.31
47,4500,8.0,15.3,27.4,62.9,6,1.5,8.6,Medium,Moderate,4,10.0,1.85,52.59
14,4500,9.1,15.7,37.0,89.8,5,5.8,10.7,High,Good,6,10.0,4.4,61.2
7,4500,6.4,9.7,36.0,12.9,2,1.1,3.4,Low,Moderate,8,10.0,3.81,79.11
13,3000,5.0,9.3,31.5,78.5,1,2.9,11.9,Medium,Good,7,10.0,2.9,72.66
22,4500,4.6,7.7,33.3,37.5,1,0.4,16.4,High,Good,8,10.0,3.14,70.24
39,4000,1.8,3.0,24.7,59.9,7,0.8,8.6,Low,Good,4,10.0,1.16,63.63
20,5000,3.6,3.8,28.0,47.0,6,2.1,13.9,Low,Good,7,10.0,2.02,74.27
15,4500,5.7,7.1,31.6,60.6,4,6.6,9.1,Medium,Good,6,10.0,3.19,74.17
44,4500,5.1,7.7,32.2,62.7,0,0.8,8.1,Medium,Good,8,10.0,2.9,58.93
17,5000,6.7,9.6,35.9,64.2,2,6.5,12.1,High,Good,7,10.0,4.19,68.22
46,4500,5.1,7.9,32.5,37.1,3,0.6,7.7,Low,Good,7,10.0,2.95,53.11
23,3000,4.0,7.4,27.9,15.8,5,6.5,6.9,Low,Good,6,10.0,2.34,72.03
25,4000,6.2,10.1,32.5,71.7,2,2.3,15.4,Medium,Good,7,10.0,3.09,62.47
24,5000,10.5,15.1,35.3,46.5,4,1.6,0.9,Low,Good,7,10.0,3.69,63.1
44,5000,4.9,8.2,28.9,20.1,7,8.6,10.5,High,Moderate,6,10.0,2.72,60.64
40,3000,5.8,7.8,37.2,25.8,5,21.9,4.7,Low,Poor,6,10.0,5.65,50.33
28,4000,7.2,9.6,32.0,41.2,3,2.9,19.0,Low,Moderate,7,10.0,3.02,63.78
14,3000,4.4,6.9,30.3,51.6,2,4.6,14.5,Low,Good,7,10.0,2.75,77.07
44,4000,8.0,11.3,34.0,14.0,0,2.2,16.4,High,Poor,9,10.0,3.43,57.68
0,3000,2.3,3.0,28.9,65.1,1,7.5,11.0,Medium,Moderate,7,10.0,2.63,83.77
24,4500,4.7,8.0,32.6,22.0,3,4.8,13.2,Medium,Good,7,10.0,3.31,68.1
6,3000,4.9,8.0,31.6,3.4,2,5.2,11.1,Low,Moderate,8,10.0,3.09,80.43
8,5000,5.8,8.3,32.7,21.8,6,3.2,7.2,Low,Moderate,6,10.0,3.21,79.63
23,5000,1.6,3.0,26.4,21.6,0,4.3,18.9,High,Good,9,10.0,1.82,74.84
0,5000,8.2,11.6,31.7,26.7,6,3.2,13.5,High,Good,7,10.0,2.98,79.72
43,3000,6.3,11.4,34.3,24.7,7,3.0,5.9,High,Good,6,10.0,3.57,57.02
7,5000,7.7,12.6,33.1,30.6,2,6.4,2.2,Low,Moderate,8,10.0,3.53,75.28
23,5000,8.7,14.5,39.7,70.1,6,4.9,4.9,Medium,Good,5,10.0,4.96,58.61
10,4500,4.0,6.3,31.9,78.8,3,2.2,10.3,Medium,Good,6,10.0,2.93,76.82
16,4500,1.0,3.0,31.9,41.7,6,6.4,6.7,Low,Good,5,10.0,3.26,74.37
7,4000,7.8,12.6,33.0,59.7,0,4.6,14.7,Low,Good,9,10.0,3.38,75.13
34,4000,4.9,8.7,30.9,59.5,5,4.5,11.4,High,Moderate,6,10.0,2.89,62.1
34,4000,3.2,4.4,30.4,53.3,1,3.1,8.8,Medium,Good,8,10.0,2.65,62.6
32,3000,6.7,9.3,31.9,45.4,6,1.2,10.0,Medium,Good,6,10.0,2.87,61.93
4,4000,10.4,14.1,34.8,36.1,0,6.1,9.4,Low,Good,8,10.0,3.9,76.63
41,3000,5.3,7.2,34.4,81.2,2,8.1,8.8,Low,Moderate,7,10.0,3.98,50.57
38,3000,7.4,11.8,33.0,39.8,2,1.8,11.9,Low,Good,7,10.0,3.16,61.45
40,4000,3.5,4.7,27.3,43.4,6,2.4,7.4,High,Good,6,10.0,1.87,63.77
27,4000,2.1,4.1,30.1,72.3,2,1.7,4.2,Medium,Moderate,7,10.0,2.48,70.36
6,3000,7.3,13.0,29.1,38.6,5,0.9,13.7,Medium,Good,5,10.0,2.2,77.68
8,4500,6.6,9.9,33.5,23.3,2,9.9,6.0,Low,Moderate,8,10.0,3.9,75.54
7,5000,4.6,6.8,32.3,68.8,6,2.3,16.2,High,Good,5,10.0,3.05,76.9
11,5000,8.9,13.9,36.3,54.8,2,6.3,9.2,Medium,Good,7,10.0,4.28,72.05
33,5000,2.0,3.0,26.0,39.3,5,7.2,7.8,Low,Moderate,7,10.0,1.95,66.66
32,4500,3.0,3.9,28.9,58.7,4,1.4,5.3,Low,Good,7,10.0,2.17,67.47
47,3000,4.4,6.0,33.1,76.0,0,9.1,8.5,Low,Moderate,8,10.0,3.74,53.85
22,4000,4.8,6.0,28.4,54.4,0,2.6,11.7,Medium,Good,9,10.0,2.15,74.5
23,3000,8.4,13.5,37.0,56.1,0,5.8,6.1,High,Good,8,10.0,4.4,63.8
36,3000,5.6,7.9,34.5,78.5,0,7.3,13.7,High,Poor,6,10.0,3.93,56.83
34,4000,5.1,8.8,30.4,79.3,3,2.3,4.5,Low,Poor,6,10.0,2.6,59.65
43,4500,3.0,5.0,28.4,31.5,6,1.4,14.6,High,Good,6,10.0,2.07,60.48
39,5000,7.7,11.5,32.0,12.1,2,1.9,10.6,High,Good,9,10.0,2.95,60.73
21,5000,3.2,5.6,31.5,56.3,4,6.3,7.7,Low,Good,6,10.0,3.17,71.47
26,3000,3.0,3.5,30.9,43.3,7,10.7,11.9,Medium,Good,6,10.0,3.33,63.63
34,4500,4.7,6.3,28.9,57.7,5,2.9,18.0,High,Good,6,10.0,2.3,61.34
0,5000,5.8,9.5,31.0,69.7,3,2.4,15.8,Medium,Good,5,10.0,2.75,77.68
34,4500,4.1,3.9,35.7,68.8,6,15.9,11.8,High,Good,4,10.0,4.85,54.02
36,4000,6.9,10.4,33.1,20.5,0,5.4,14.7,Low,Good,10,10.0,3.47,61.11
46,3000,4.9,8.0,34.5,75.0,7,1.1,7.9,Medium,Poor,4,10.0,3.46,51.54
13,3000,7.6,12.7,33.2,52.4,5,1.7,6.9,Medium,Good,6,10.0,3.2,72.03
2,4500,6.5,11.3,29.5,43.2,0,0.8,13.6,High,Moderate,8,10.0,2.27,82.55
0,5000,9.1,13.5,33.1,22.4,5,4.2,11.2,Medium,Good,7,10.0,3.37,78.16
4,4500,4.6,7.7,30.5,40.1,4,3.2,8.5,High,Moderate,7,10.0,2.69,83.84
25,4000,7.2,10.0,34.2,49.7,6,2.7,14.0,Medium,Moderate,6,10.0,3.51,61.97
13,5000,1.9,3.0,29.7,11.0,0,1.0,10.2,High,Poor,9,10.0,2.34,84.21
38,5000,11.3,18.3,35.8,74.2,0,1.7,16.4,High,Good,7,10.0,3.81,53.72
26,4500,7.1,10.6,32.2,76.6,0,3.2,0.0,Low,Good,7,10.0,3.08,65.76
8,4000,4.9,7.5,30.4,56.6,0,3.3,7.5,Low,Moderate,8,10.0,2.67,80.76
14,5000,5.0,6.4,30.7,38.7,3,5.4,14.6,High,Good,7,10.0,2.89,74.07
14,3000,5.0,7.9,27.2,63.4,3,0.5,18.3,High,Poor,6,10.0,1.71,74.63
25,4000,9.2,14.5,34.1,55.1,3,6.1,16.6,High,Good,7,10.0,3.74,61.49
41,5000,7.3,11.7,29.9,86.9,0,1.9,6.8,Low,Moderate,8,10.0,2.46,58.9
12,4500,4.6,5.7,34.1,62.6,1,4.2,16.3,Low,Moderate,7,10.0,3.62,73.36
31,5000,3.0,5.5,30.7,38.9,3,9.2,0.9,Medium,Moderate,7,10.0,3.19,66.99
38,3000,7.9,10.8,30.5,58.0,6,3.0,5.4,High,Good,6,10.0,2.68,60.33
48,4000,7.2,10.7,32.6,39.5,7,8.8,8.7,Medium,Good,4,10.0,3.6,52.17
31,5000,6.9,8.8,34.9,49.0,7,14.6,12.3,Low,Poor,6,10.0,4.58,58.67
3,3000,5.3,7.8,30.9,39.1,2,3.5,5.1,High,Moderate,7,10.0,2.8,84.05
29,5000,4.9,6.3,31.7,62.1,2,12.8,9.3,Medium,Good,7,10.0,3.69,60.76
36,5000,8.9,12.9,33.7,66.8,1,1.7,16.8,Medium,Moderate,7,10.0,3.33,59.2
22,4000,9.1,13.6,35.2,13.2,4,4.4,4.1,High,Good,6,10.0,3.88,65.46
38,4500,6.8,11.0,32.1,64.3,2,2.7,3.7,Medium,Good,7,10.0,3.02,60.11
44,4500,7.4,12.0,30.6,89.4,5,3.6,6.0,Medium,Good,6,10.0,2.73,54.18
14,3000,6.0,6.6,37.8,54.6,4,2.7,21.9,Low,Moderate,7,10.0,4.36,70.13
42,3000,2.8,4.8,32.1,24.3,2,0.5,12.1,Low,Moderate,8,10.0,2.86,58.35
28,3000,3.5,5.5,30.6,70.3,5,4.1,5.7,Medium,Good,5,10.0,2.79,63.6
35,4000,7.8,11.1,29.0,64.1,1,2.1,14.6,Medium,Good,7,10.0,2.25,59.51
12,4500,8.0,11.2,35.7,64.0,3,6.3,0.8,High,Good,7,10.0,4.14,68.18
31,3000,7.6,11.3,32.9,47.9,6,7.8,9.3,Low,Good,6,10.0,3.59,62.29
6,3000,6.2,9.5,31.5,84.1,4,1.6,10.7,High,Moderate,6,10.0,2.81,76.6
21,5000,7.7,11.9,27.7,62.6,5,1.0,15.6,High,Good,6,10.0,1.86,72.96
27,5000,5.4,7.9,27.5,63.5,7,1.7,2.8,Low,Good,5,10.0,1.88,67.95
1,3000,6.7,7.6,33.0,58.2,5,1.4,16.4,Medium,Moderate,6,10.0,3.14,79.62
41,5000,5.1,7.1,31.9,53.3,4,1.9,15.1,Medium,Moderate,6,10.0,2.93,59.28
44,5000,3.4,3.9,30.7,1.3,1,3.0,16.7,High,Poor,9,10.0,2.71,60.89
5,5000,7.2,12.9,34.6,24.5,7,6.0,4.0,High,Moderate,6,10.0,3.85,77.55
27,4000,8.1,12.1,35.6,76.6,4,8.5,18.7,Medium,Moderate,6,10.0,4.28,60.37
27,3000,10.4,16.4,34.3,78.5,2,6.8,0.6,High,Poor,7,10.0,3.84,60.8
43,3000,6.0,9.7,34.4,23.8,3,11.4,3.7,Medium,Poor,7,10.0,4.21,56.99
43,5000,3.4,5.4,32.1,46.2,0,1.1,10.9,Low,Good,9,10.0,2.9,60.26
19,4000,4.8,6.8,31.6,62.7,1,3.1,8.1,Low,Good,6,10.0,2.93,68.71
29,5000,5.2,7.3,32.4,16.2,7,1.7,3.3,Medium,Good,7,10.0,3.01,69.45
10,4000,5.8,6.7,33.8,14.3,4,6.5,21.8,High,Moderate,8,10.0,3.71,78.57
27,3000,6.4,9.8,30.5,23.7,4,3.9,1.5,Low,Good,7,10.0,2.75,67.6
24,5000,6.2,9.6,31.9,42.0,7,1.8,1.3,Medium,Good,5,10.0,2.92,64.43
38,3000,7.1,10.5,33.4,32.7,4,6.0,11.6,Medium,Good,7,10.0,3.58,59.66
32,4000,5.9,9.0,32.6,56.0,4,6.5,9.7,High,Good,6,10.0,3.42,57.88
0,4500,1.0,3.0,32.1,52.7,1,2.7,2.7,High,Moderate,8,9.59,3.03,83.19
26,4000,6.0,8.6,35.6,29.9,2,5.2,20.9,High,Moderate,8,10.0,4.03,64.6
12,4500,5.7,7.9,29.2,27.9,2,3.5,10.5,Low,Moderate,7,10.0,2.4,79.68
40,3000,6.6,10.6,35.4,75.6,3,2.6,7.2,Low,Moderate,6,10.0,3.79,53.08
2,3000,4.8,7.2,27.4,37.5,3,2.7,10.0,Low,Good,6,10.0,1.94,83.16
38,5000,5.9,8.3,34.7,69.7,0,2.0,2.1,Medium,Moderate,8,10.0,3.57,54.87
5,4500,6.6,9.8,32.0,87.8,2,3.9,15.4,Medium,Moderate,6,10.0,3.1,74.99
7,4000,5.2,6.7,31.3,71.5,5,3.1,11.3,Medium,Moderate,7,10.0,2.88,78.53
26,3000,6.9,9.9,31.3,33.1,1,4.9,8.8,Low,Poor,8,10.0,3.01,68.76
8,4500,5.6,9.0,33.6,80.6,2,0.2,10.0,Medium,Moderate,7,10.0,3.2,73.7
36,4000,5.8,7.4,33.9,48.3,7,5.1,5.6,Medium,Good,5,10.0,3.63,60.09
32,4500,1.0,3.0,27.2,25.6,2,0.1,15.7,Low,Moderate,8,10.0,1.7,67.77
41,4000,3.2,4.1,33.7,58.1,3,5.0,6.7,Medium,Good,6,10.0,3.58,55.69
43,4000,3.2,3.5,32.0,90.2,5,3.6,7.2,Low,Moderate,5,10.0,3.06,56.38
23,4000,5.9,10.8,28.1,57.9,4,0.4,11.0,Medium,Poor,6,10.0,1.93,67.52
14,4000,8.0,13.3,33.2,76.0,4,3.5,0.0,High,Poor,5,10.0,3.34,71.11
31,4500,5.3,7.3,31.7,63.0,5,5.3,12.8,Low,Good,6,10.0,3.14,58.67
31,4500,7.2,10.5,31.7,79.6,2,3.4,9.9,Medium,Good,6,10.0,2.99,62.9
23,5000,6.8,8.2,34.1,45.9,2,3.1,12.7,Medium,Good,7,10.0,3.53,67.97
40,4500,5.8,7.1,31.6,42.1,2,2.4,8.8,High,Poor,8,10.0,2.87,58.95
48,4500,6.6,8.8,33.7,24.1,2,4.0,5.8,High,Moderate,9,10.0,3.49,51.63
48,5000,6.0,9.0,31.9,52.3,6,4.7,10.6,Medium,Good,5,10.0,3.13,51.84
11,4500,5.2,7.7,26.8,48.0,3,2.9,15.0,High,Good,6,10.0,1.81,78.98
38,4000,6.3,9.8,29.7,86.8,2,3.2,7.2,High,Moderate,7,10.0,2.51,58.22
1,3000,8.4,13.3,34.4,71.8,6,1.5,14.1,High,Good,5,10.0,3.48,76.96
2,3000,6.4,9.9,32.9,78.5,2,6.1,8.5,High,Good,7,10.0,3.47,75.3
48,5000,5.9,7.8,29.2,39.0,0,1.6,7.7,Medium,Moderate,8,10.0,2.27,57.05
36,4500,3.7,5.9,34.6,75.4,0,4.1,14.4,High,Poor,7,10.0,3.72,54.8
48,4500,8.3,13.1,34.2,75.2,6,3.2,11.7,High,Good,5,10.0,3.55,50.0
16,5000,2.7,3.6,27.7,32.5,2,1.6,3.2,Low,Good,8,10.0,1.93,82.2
48,3000,2.1,3.0,36.9,55.4,7,7.0,9.0,High,Moderate,5,10.0,4.46,50.0
1,4000,6.2,10.5,29.6,57.5,4,0.6,4.2,Medium,Moderate,7,10.0,2.29,85.59
1,4500,3.7,5.7,31.2,40.0,1,2.6,12.6,Low,Poor,8,10.0,2.8,84.16
27,5000,7.7,8.7,30.0,42.2,0,3.6,5.4,High,Good,8,10.0,2.61,68.05
22,4000,2.1,5.3,31.7,37.0,2,9.4,10.8,Low,Poor,7,10.0,3.44,71.88
36,5000,7.4,10.7,31.4,58.8,0,5.2,12.6,Low,Good,7,10.0,3.06,61.96
31,5000,7.1,13.2,28.3,55.7,2,0.9,12.6,Medium,Good,6,10.0,2.0,67.43
32,5000,5.7,9.0,31.0,79.6,4,0.7,7.3,Medium,Good,6,10.0,2.63,62.18
0,3000,1.3,3.0,33.1,39.0,4,8.3,10.2,High,Good,7,10.0,3.68,83.85
18,3000,2.1,3.3,31.9,54.8,0,8.0,6.5,Low,Good,9,10.0,3.38,74.2
1,5000,6.0,8.3,32.5,89.0,6,5.6,7.9,Low,Good,4,10.0,3.34,78.22
43,4500,5.0,7.6,34.3,58.6,5,1.9,5.3,Low,Good,5,10.0,3.48,56.5
25,4000,7.0,12.4,31.4,2.0,6,1.9,10.3,Medium,Moderate,6,10.0,2.8,70.67
31,4500,5.4,7.1,34.0,55.7,1,0.7,12.4,Medium,Good,8,10.0,3.31,62.22
5,3000,5.2,8.3,28.1,46.9,1,6.1,5.8,Medium,Poor,8,10.0,2.35,85.69
31,4000,1.0,3.0,28.0,42.5,1,1.2,5.8,Medium,Good,8,9.24,1.96,68.96
3,5000,7.1,10.5,32.5,47.1,5,4.2,18.0,High,Good,6,10.0,3.22,80.3
10,4500,4.2,8.3,31.1,70.4,1,3.4,5.8,High,Good,8,10.0,2.85,77.2
16,4500,4.7,7.6,30.2,87.8,3,2.5,13.6,Low,Good,7,10.0,2.57,69.73
37,5000,3.4,5.8,30.5,56.1,5,2.1,15.0,High,Good,6,10.0,2.6,59.03
23,4500,2.4,3.7,30.8,66.6,7,4.3,11.4,Low,Good,5,10.0,2.84,68.28
4,3000,8.4,15.4,36.1,30.2,6,8.4,11.8,Low,Moderate,6,10.0,4.4,76.2
33,5000,7.1,9.7,29.1,49.5,2,4.7,10.4,Medium,Good,7,10.0,2.48,66.54
5,4500,7.1,9.1,32.5,41.0,7,3.1,3.2,Medium,Moderate,5,10.0,3.14,79.74
21,5000,5.1,9.3,27.3,67.7,4,6.1,15.4,High,Moderate,6,10.0,2.17,72.95
10,4000,2.0,3.0,30.2,51.3,1,9.3,7.8,High,Good,8,10.0,3.08,76.47
47,5000,9.7,15.0,38.7,80.8,3,1.8,14.2,High,Moderate,6,10.0,4.5,50.0
15,4500,6.3,11.2,33.8,48.8,6,3.9,9.9,Low,Good,5,10.0,3.51,69.69
32,3000,5.8,9.1,34.5,63.7,2,1.5,12.4,Low,Good,7,10.0,3.5,57.79
8,5000,4.8,9.4,30.8,18.6,6,8.6,11.4,Medium,Moderate,7,10.0,3.17,77.58
5,5000,1.4,3.0,33.7,65.8,6,4.8,7.7,High,Moderate,6,10.0,3.56,73.58
15,4500,7.8,11.0,35.8,50.0,3,3.4,14.0,Medium,Moderate,6,10.0,3.95,68.18
28,3000,3.4,3.0,29.0,31.4,0,2.4,3.3,High,Moderate,9,10.0,2.28,73.51
2,3000,6.6,10.2,33.3,7.1,6,4.8,16.2,High,Good,6,10.0,3.46,78.43
19,4000,7.0,8.3,38.9,64.5,0,14.2,15.5,Medium,Moderate,8,10.0,5.47,64.63
35,4000,6.2,9.6,37.1,12.2,1,2.2,8.7,Low,Good,9,10.0,4.16,61.33
18,4500,6.4,11.1,27.7,20.2,0,0.3,11.3,High,Good,8,10.0,1.83,80.42
25,3000,8.2,12.3,29.9,61.9,2,4.1,8.7,Medium,Good,7,10.0,2.62,65.8
2,3000,3.9,6.1,29.2,25.3,7,2.8,5.9,High,Moderate,6,10.0,2.37,86.03
18,4000,5.8,9.7,27.4,48.7,1,1.8,9.6,Low,Good,8,10.0,1.87,76.29
19,4000,5.0,8.2,32.3,81.6,7,6.0,11.4,Medium,Good,4,10.0,3.32,63.25
31,4500,1.8,3.9,31.2,67.0,3,4.8,16.7,Low,Good,6,10.0,2.98,63.1
6,3000,6.1,9.1,29.1,86.3,4,2.0,9.0,High,Good,5,10.0,2.27,74.85
40,5000,8.0,9.8,34.8,22.7,4,10.0,10.1,Low,Good,6,10.0,4.2,55.09
32,4000,8.3,13.6,33.6,58.7,4,10.9,16.5,High,Moderate,6,10.0,4.0,55.65
39,4500,9.2,13.6,38.2,71.7,2,1.7,12.5,High,Good,7,10.0,4.38,50.0
38,3000,2.0,3.0,28.9,34.5,1,2.8,3.0,High,Moderate,9,10.0,2.29,67.42
17,3000,8.8,13.5,37.9,71.6,0,10.0,9.8,Medium,Good,7,10.0,4.93,64.4
39,4000,5.9,9.0,30.6,76.2,6,1.7,14.2,Low,Good,4,10.0,2.6,56.96
0,4500,8.7,12.3,36.6,49.1,7,3.6,22.3,Low,Good,5,10.0,4.15,77.11
10,5000,4.7,5.8,32.2,72.1,1,4.4,10.9,Medium,Moderate,7,10.0,3.19,73.86
